kshnoa3	kshnma3	sdtcda3	seqnoa3	stnnoa3	stnnma3	buinoa3	buinma3	jikcna3	jiknoa3	mevald3	jgecdd3	jgenmd3	ngvald3	tolsna3	medayd3	metimd3	wkrnoa3	wkrnma3
001	5kVA	20230110083000	1	工程2	碍盤配線・固定	005	碍盤配線　5k・10k	6	1	250	1	OK		000001A	2023/1/10	08:30:00	1	東日 太郎
001	5kVA	20230110083000	1	工程2	碍盤配線・固定	005	碍盤配線　5k・10k	6	2	250	1	OK		000001A	2023/1/10	08:30:00	1	東日 太郎
001	5kVA	20230110083000	1	工程2	碍盤配線・固定	005	碍盤配線　5k・10k	6	3	250	1	OK		000001A	2023/1/10	08:30:00	1	東日 太郎
001	5kVA	20230110083000	1	工程2	碍盤配線・固定	005	碍盤配線　5k・10k	6	4	250	1	OK		000001A	2023/1/10	08:30:00	1	東日 太郎
001	5kVA	20230110083000	1	工程2	碍盤配線・固定	005	碍盤配線　5k・10k	6	5	250	1	OK		000001A	2023/1/10	08:30:00	1	東日 太郎
001	5kVA	20230110083000	1	工程2	碍盤配線・固定	005	碍盤配線　5k・10k	6	6	250	1	OK		000001A	2023/1/10	08:30:00	1	東日 太郎
001	5kVA	20230110083000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	2	1	490	1	OK		000030A	2023/1/10	08:32:00	1	東日 太郎
001	5kVA	20230110083000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	2	2	490	1	OK		000030A	2023/1/10	08:32:00	1	東日 太郎
001	5kVA	20230110083000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	2	1	120	1	OK		000001A	2023/1/10	08:34:00	1	東日 太郎
001	5kVA	20230110083000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	2	2	120	1	OK		000001A	2023/1/10	08:34:00	1	東日 太郎
001	5kVA	20230110083000	4	工程3.5	ダボ締め	009	タンキング固定 5k	2	1	44.1	1	OK		000017A	2023/1/10	08:36:00	1	東日 太郎
001	5kVA	20230110083000	4	工程3.5	ダボ締め	009	タンキング固定 5k	2	2	44.1	1	OK		000017A	2023/1/10	08:36:00	1	東日 太郎
002	10kVA	20230110084000	1	工程2	碍盤配線・固定	005	碍盤配線　5k・10k	6	1	250	1	OK		000001A	2023/1/10	08:40:00	1	東日 太郎
002	10kVA	20230110084000	1	工程2	碍盤配線・固定	005	碍盤配線　5k・10k	6	2	250	1	OK		000001A	2023/1/10	08:40:00	1	東日 太郎
002	10kVA	20230110084000	1	工程2	碍盤配線・固定	005	碍盤配線　5k・10k	6	3	250	1	OK		000001A	2023/1/10	08:40:00	1	東日 太郎
002	10kVA	20230110084000	1	工程2	碍盤配線・固定	005	碍盤配線　5k・10k	6	4	250	1	OK		000001A	2023/1/10	08:40:00	1	東日 太郎
002	10kVA	20230110084000	1	工程2	碍盤配線・固定	005	碍盤配線　5k・10k	6	5	250	1	OK		000001A	2023/1/10	08:40:00	1	東日 太郎
002	10kVA	20230110084000	1	工程2	碍盤配線・固定	005	碍盤配線　5k・10k	6	6	250	1	OK		000001A	2023/1/10	08:40:00	1	東日 太郎
002	10kVA	20230110084000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	2	1	490	1	OK		000030A	2023/1/10	08:42:00	1	東日 太郎
002	10kVA	20230110084000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	2	2	490	1	OK		000030A	2023/1/10	08:42:00	1	東日 太郎
002	10kVA	20230110084000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	2	1	120	1	OK		000001A	2023/1/10	08:44:00	1	東日 太郎
002	10kVA	20230110084000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	2	2	120	1	OK		000001A	2023/1/10	08:44:00	1	東日 太郎
002	10kVA	20230110084000	4	工程3.5	ダボ締め	010	タンキング固定 10k	2	1	44.1	1	OK		000017A	2023/1/10	08:46:00	1	東日 太郎
002	10kVA	20230110084000	4	工程3.5	ダボ締め	010	タンキング固定 10k	2	2	44.1	1	OK		000017A	2023/1/10	08:46:00	1	東日 太郎
003	20kVA	20230110085000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	1	290	1	OK		000001A	2023/1/10	08:50:00	1	東日 太郎
003	20kVA	20230110085000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	2	290	1	OK		000001A	2023/1/10	08:50:00	1	東日 太郎
003	20kVA	20230110085000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	3	290	1	OK		000001A	2023/1/10	08:50:00	1	東日 太郎
003	20kVA	20230110085000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	4	290	1	OK		000001A	2023/1/10	08:50:00	1	東日 太郎
003	20kVA	20230110085000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	5	290	1	OK		000001A	2023/1/10	08:50:00	1	東日 太郎
003	20kVA	20230110085000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	6	290	1	OK		000001A	2023/1/10	08:50:00	1	東日 太郎
003	20kVA	20230110085000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	2	1	490	1	OK		000030A	2023/1/10	08:52:00	1	東日 太郎
003	20kVA	20230110085000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	2	2	490	1	OK		000030A	2023/1/10	08:52:00	1	東日 太郎
003	20kVA	20230110085000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	2	1	120	1	OK		000001A	2023/1/10	08:54:00	1	東日 太郎
003	20kVA	20230110085000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	2	2	120	1	OK		000001A	2023/1/10	08:54:00	1	東日 太郎
003	20kVA	20230110085000	4	工程3.5	ダボ締め	011	タンキング固定 20k	2	1	44.1	1	OK		000017A	2023/1/10	08:56:00	1	東日 太郎
003	20kVA	20230110085000	4	工程3.5	ダボ締め	011	タンキング固定 20k	2	2	44.1	1	OK		000017A	2023/1/10	08:56:00	1	東日 太郎
004	30kVA	20230110090000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	1	290	1	OK		000001A	2023/1/10	09:00:00	1	東日 太郎
004	30kVA	20230110090000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	2	290	1	OK		000001A	2023/1/10	09:00:00	1	東日 太郎
004	30kVA	20230110090000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	3	290	1	OK		000001A	2023/1/10	09:00:00	1	東日 太郎
004	30kVA	20230110090000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	4	290	1	OK		000001A	2023/1/10	09:00:00	1	東日 太郎
004	30kVA	20230110090000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	5	290	1	OK		000001A	2023/1/10	09:00:00	1	東日 太郎
004	30kVA	20230110090000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	6	290	1	OK		000001A	2023/1/10	09:00:00	1	東日 太郎
004	30kVA	20230110090000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	2	1	490	1	OK		000030A	2023/1/10	09:02:00	1	東日 太郎
004	30kVA	20230110090000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	2	2	490	1	OK		000030A	2023/1/10	09:02:00	1	東日 太郎
004	30kVA	20230110090000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	2	1	120	1	OK		000001A	2023/1/10	09:04:00	1	東日 太郎
004	30kVA	20230110090000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	2	2	120	1	OK		000001A	2023/1/10	09:04:00	1	東日 太郎
004	30kVA	20230110090000	4	工程3.5	ダボ締め	012	タンキング固定 30k	2	1	44.1	1	OK		000017A	2023/1/10	09:06:00	1	東日 太郎
004	30kVA	20230110090000	4	工程3.5	ダボ締め	012	タンキング固定 30k	2	2	44.1	1	OK		000017A	2023/1/10	09:06:00	1	東日 太郎
005	50kVA	20230110091000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	1	290	1	OK		000001A	2023/1/10	09:10:00	1	東日 太郎
005	50kVA	20230110091000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	2	290	1	OK		000001A	2023/1/10	09:10:00	1	東日 太郎
005	50kVA	20230110091000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	3	290	1	OK		000001A	2023/1/10	09:10:00	1	東日 太郎
005	50kVA	20230110091000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	4	290	1	OK		000001A	2023/1/10	09:10:00	1	東日 太郎
005	50kVA	20230110091000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	5	290	1	OK		000001A	2023/1/10	09:10:00	1	東日 太郎
005	50kVA	20230110091000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	6	6	290	1	OK		000001A	2023/1/10	09:10:00	1	東日 太郎
005	50kVA	20230110091000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	2	1	490	1	OK		000030A	2023/1/10	09:12:00	1	東日 太郎
005	50kVA	20230110091000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	2	2	490	1	OK		000030A	2023/1/10	09:12:00	1	東日 太郎
005	50kVA	20230110091000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	2	1	120	1	OK		000001A	2023/1/10	09:14:00	1	東日 太郎
